Epoca,Erro
435,0.4460187247866877
436,0.44190428791072933
437,0.43781092507241415
438,0.4337394015840562
439,0.42969045721761323
440,0.4256648057464323
441,0.4216631345540884
442,0.4176861043093263
443,0.41373434870588344
444,0.4098084742657521
445,0.40590906020423306
446,0.4020366583549506
447,0.3981917931528321
448,0.3943749616729121
449,0.3905866337226829
450,0.38682725198561607
451,0.38309723221337605
452,0.37939696346418167
453,0.3757268083847048
454,0.372087103532866
455,0.36847815973884934
456,0.36490026250165797
457,0.36135367241852845
458,0.35783862564454444
459,0.3543553343798115
460,0.35090398738160167
461,0.3474847504989203
462,0.34409776722700863
463,0.34074315927936294
464,0.33742102717492195
465,0.3341314508381581
466,0.33087449020989
467,0.32765018586672445
468,0.3244585596471291
469,0.32129961528223494
470,0.3181733390295608
471,0.3150797003079569
472,0.3120186523321596
473,0.30899013274545256
474,0.3059940642490281
475,0.3030303552267384
476,0.30009890036402814
477,0.29719958125993196
478,0.29433226703111093
479,0.29149681490699836
480,0.28869307081520934
481,0.2859208699564503
482,0.283180037368256
483,0.2804703884769444
484,0.2777917296372722
485,0.275143858659327
486,0.2725265653222776
487,0.26993963187465
488,0.2673828335208731
489,0.2648559388938823
490,0.262358710513632
491,0.25989090523140934
492,0.25745227465989506
493,0.25504256558895555
494,0.2526615203871909
495,0.2503088773893022
496,0.24798437126937084
497,0.24568773340017863
498,0.2434186921987198
499,0.24117697345808342
500,0.23896230066590807
501,0.23677439530963004
502,0.23461297716876184
503,0.23247776459445768
504,0.2303684747766314
505,0.22828482399890854
506,0.22622652788170028
507,0.2241933016136961
508,0.22218486017208167
509,0.22020091853178758
510,0.2182411918640836
511,0.21630539572483526
512,0.2143932462327344
513,0.2125044602378271
514,0.21063875548065047
515,0.20879585074229512
516,0.20697546598570613
517,0.20517732248853227
518,0.2034011429678274
519,0.20164665169690993
520,0.1999135746146726
521,0.19820163942763985
522,0.19651057570505437
523,0.1948401149672772
524,0.19318999076777443
525,0.191559938768959
526,0.18994969681214835
527,0.1883590049818954
528,0.18678760566493785
529,0.18523524360400964
530,0.18370166594674694
531,0.18218662228991722
532,0.18068986471919116
533,0.17921114784466957
534,0.17775022883237404
535,0.17630686743189722
